id_transaksi,tanggal,waktu,nominal,tipe,kategori,deskripsi,metode_pembayaran,lokasi,user_id,profil,rating,anomaly_flag
TRX000001,2022-04-10,15:38,206760.0,keluar,Makanan,Dessert di KFC,e-Wallet,Tangerang,U001,student,5.0,0
TRX000002,2023-12-02,11:42,1261342.1415327038,masuk,Gaji,Gaji bulanan - student,Tunai,Palembang,U001,student,,0
TRX000003,2023-10-10,16:41,3035182.5,masuk,Freelance,Jasa foto,Transfer Bank,Medan,U001,student,,0
TRX000004,2023-10-06,18:46,4627192.5,masuk,Gaji,Lembur,Tunai,Batam,U001,student,,0
TRX000005,2022-09-20,19:37,20800.0,keluar,Makanan,Makan siang di Nike Store,Transfer Bank,Surabaya,U001,student,4.0,0
TRX000006,2023-05-05,11:32,22932.0,keluar,Transportasi,Tiket pesawat di ATM BRI,e-Wallet,Semarang,U001,student,5.0,0
TRX000007,2023-01-09,07:41,58432.5,keluar,Hiburan,Langganan digital di Nike Store,Transfer Bank,Balikpapan,U001,student,4.0,0
TRX000008,2023-04-02,10:33,1261342.1415327038,masuk,Gaji,Gaji bulanan - student,Tunai,Jakarta,U001,student,,0
TRX000009,2024-02-05,15:30,1334448.5023888852,masuk,Gaji,Gaji bulanan - student,Transfer Bank,Palembang,U001,student,,0
TRX000010,2022-07-07,14:49,93000.0,keluar,Hiburan,Festival di Grab,Tunai,Makassar,U001,student,3.0,0
TRX000011,2022-05-31,12:30,23000.0,keluar,Transportasi,Service kendaraan di Dell Store,Transfer Bank,Semarang,U001,student,3.0,0
TRX000012,2024-01-02,17:32,217766.88,keluar,Makanan,Sarapan (Tahun Baru) di Lenovo Store,Tunai,Solo,U001,student,3.0,0
TRX000013,2024-04-02,17:34,39191.04,keluar,Makanan,Kue dan roti di Shopee,e-Wallet,Padang,U001,student,4.0,0
TRX000014,2022-12-17,10:08,30800.0,keluar,Transportasi,Rental mobil di Guardian,Tunai,Bandung,U001,student,5.0,0
TRX000015,2023-03-04,08:18,60990.299999999996,keluar,Hiburan,Theme park di Uniqlo,Transfer Bank,Tasikmalaya,U001,student,3.0,0
TRX000016,2022-09-04,13:00,1144074.504791568,masuk,Gaji,Gaji bulanan - student,Tunai,Palembang,U001,student,,0
TRX000017,2022-03-13,07:27,77800.0,keluar,Belanja,Alat rumah tangga di ASUS Store,QRIS,Solo,U001,student,5.0,0
TRX000018,2024-01-06,06:48,194275.584,keluar,Makanan,Minuman (Tahun Baru) di HP Store,QRIS,Depok,U001,student,4.0,0
TRX000019,2022-09-05,09:38,36900.0,keluar,Transportasi,Bus di Tiket.com,Tunai,Bandung,U001,student,5.0,0
TRX000020,2023-01-05,09:09,177943.5,keluar,Makanan,Dessert (Tahun Baru) di Shopee,Transfer Bank,Surabaya,U001,student,3.0,0
TRX000021,2022-12-05,10:57,54900.0,keluar,Transportasi,Tol di Alfamart,e-Wallet,Makassar,U001,student,4.0,0
TRX000022,2022-06-22,15:24,97500.0,keluar,Makanan,Jajan di PLN,e-Wallet,Medan,U001,student,5.0,0
TRX000023,2022-09-05,13:42,113000.0,keluar,Kesehatan,Check-up rutin di Ace Hardware,Transfer Bank,Yogyakarta,U001,student,5.0,0
TRX000024,2023-12-13,11:05,129543.75,keluar,Makanan,Buah-buahan di ASUS Store,Tunai,Palembang,U001,student,5.0,0
TRX000025,2023-06-18,19:44,807140.25,keluar,Pendidikan,Sertifikasi di Zara,e-Wallet,Medan,U001,student,3.0,0
TRX000026,2022-10-19,06:01,56000.0,keluar,Transportasi,Bensin di Lenovo Store,Tunai,Makassar,U001,student,5.0,0
TRX000027,2022-03-25,07:11,208910.0,keluar,Hiburan,Konser di Nike Store,QRIS,Pontianak,U001,student,3.0,0
TRX000028,2023-07-24,19:25,50274.0,keluar,Transportasi,Cuci kendaraan di ATM BCA,e-Wallet,Palembang,U001,student,3.0,0
TRX000029,2023-07-02,16:06,14438340.0,masuk,Gaji,Lembur,Transfer Bank,Semarang,U001,student,,0
TRX000030,2024-01-05,08:09,29859.840000000004,keluar,Transportasi,Bus di Tiket.com,QRIS,Semarang,U001,student,5.0,0
TRX000031,2024-01-27,20:46,824994.7200000001,keluar,Tagihan,Pajak di XL Axiata,e-Wallet,Semarang,U001,student,,0
TRX000032,2022-01-26,10:12,213590.0,keluar,Makanan,Restoran di Starbucks,QRIS,Yogyakarta,U001,student,4.0,0
TRX000033,2023-06-11,19:56,10757092.5,masuk,Gaji,Insentif,Transfer Bank,Makassar,U001,student,,0
TRX000034,2023-05-16,13:49,5197185.0,masuk,Bisnis,Keuntungan bisnis,Transfer Bank,Yogyakarta,U001,student,,0
TRX000035,2022-06-25,08:32,25300.0,keluar,Transportasi,Parkir di PLN,QRIS,Palembang,U001,student,3.0,0
TRX000036,2023-04-28,16:03,151924.5,keluar,Hiburan,Streaming di Indomaret,Transfer Bank,Makassar,U001,student,4.0,0
TRX000037,2022-02-28,07:46,12772000.0,masuk,Gaji,Bonus,Transfer Bank,Solo,U001,student,,0
TRX000038,2022-02-21,22:21,23900.0,keluar,Makanan,Kue dan roti di Indomaret,e-Wallet,Malang,U001,student,3.0,0
TRX000039,2023-08-14,11:51,195473.25,keluar,Makanan,Makanan cepat saji di ASUS Store,e-Wallet,Bandung,U001,student,4.0,0
TRX000040,2024-04-28,13:56,11378232.0,masuk,Bisnis,Penjualan online,Tunai,Bekasi,U001,student,,0
TRX000041,2023-07-28,22:16,143325.0,keluar,Makanan,Makan malam di HP Store,e-Wallet,Pontianak,U001,student,4.0,0
TRX000042,2022-07-21,21:46,214600.0,keluar,Hiburan,Karaoke di Century,e-Wallet,Semarang,U001,student,5.0,0
TRX000043,2022-06-23,08:29,143800.0,keluar,Makanan,Buah-buahan di ATM BRI,e-Wallet,Denpasar,U001,student,3.0,0
TRX000044,2024-02-13,14:49,38724.48,keluar,Transportasi,Cuci kendaraan di Ace Hardware,e-Wallet,Medan,U001,student,3.0,0
TRX000045,2023-08-10,15:18,109588.5,keluar,Hiburan,Hobi di PDAM,e-Wallet,Tangerang,U001,student,5.0,0
TRX000046,2024-04-06,14:29,5239235.5200000005,keluar,Belanja,Buku (Belanja Lebaran) (Belanja Lebaran) di HP Store,Tunai,Pekanbaru,U001,student,3.0,1
TRX000047,2023-08-08,11:35,14291707.5,masuk,Gaji,Bonus,Tunai,Makassar,U001,student,,0
TRX000048,2023-02-19,11:47,21939.75,keluar,Transportasi,Asuransi kendaraan di McD,e-Wallet,Palembang,U001,student,5.0,0
TRX000049,2023-01-23,10:29,18963.0,keluar,Hiburan,Beli buku di Warkop 86,e-Wallet,Banjarmasin,U001,student,4.0,0
TRX000050,2022-10-29,21:00,5346000.0,masuk,Gaji,Lembur,Tunai,Depok,U001,student,,0
TRX000051,2024-04-20,09:40,107775.36,keluar,Transportasi,Tiket kereta di PDAM,QRIS,Semarang,U001,student,4.0,0
TRX000052,2022-04-24,07:44,37700.0,keluar,Transportasi,Tiket pesawat di IKEA,e-Wallet,Semarang,U001,student,3.0,0
TRX000053,2023-01-08,12:39,9494730.0,masuk,Gaji,Insentif,Tunai,Bogor,U001,student,,0
TRX000054,2022-11-01,13:03,206200.0,keluar,Makanan,Sarapan di XL Axiata,Tunai,Tasikmalaya,U001,student,1.0,0
TRX000055,2022-11-12,16:02,40080.0,keluar,Makanan,Belanja bahan makanan di Lenovo Store,e-Wallet,Batam,U001,student,4.0,0
TRX000056,2023-10-20,14:26,30649.5,keluar,Transportasi,Taksi di ATM Mandiri,e-Wallet,Surabaya,U001,student,3.0,0
TRX000057,2022-01-20,17:00,10200.0,keluar,Transportasi,Ojek online di ATM BRI,e-Wallet,Palembang,U001,student,5.0,0
